Zip,Population,Median Age,males per 100 females
601,18088,37.1,95.3
602,40859,39,96.6
603,53162,39.2,95.5
606,6415,39.2,98.8
610,28805,39.7,94
612,66251,39.3,89.2
616,10466,41.6,98.9
617,24917,36.6,91.8
622,6589,41.6,79.3
623,44117,40.2,93.4
624,24902,34.8,94.9
627,34438,38.4,93.4
631,1847,40.8,93.2
637,24799,38.9,90.6
638,18365,38,95.8
641,30183,39.2,95
646,38305,38,92.3
647,5245,46.6,99.9
650,14679,37.3,96.7
652,3831,39.9,94.1
653,13427,36.7,90.7
656,20839,37.2,93.4
659,41830,38.4,93.6
660,17023,43,87
662,43101,38.9,94.6
664,16298,34.5,99.1
667,25510,41,95.3
669,28442,38.3,98.2
670,9478,38,98.2
674,43240,38.5,90.5
676,39513,36.9,96.5
677,15012,41.7,95.5
678,27045,38.4,94.7
680,54824,38.9,93.8
682,31908,35.9,90.7
683,33050,41.3,94.2
685,41403,40.5,96
687,32484,34.3,99.3
688,13251,40,106.1
690,5906,35,92.4
692,37329,35.6,90.5
693,59513,38,93.9
694,134,64.8,157.7
698,40276,39.9,93.6
703,28739,36,94.6
704,8100,34.2,93.6
705,25090,38.3,94.1
707,11904,40.3,97.7
714,19229,36.2,88.5
715,3714,41.5,112.2
716,31362,38.8,97.3
717,18176,33.2,76.9
718,26786,35.1,91.1
719,30772,36.4,97.4
720,22862,36,101.6
723,18766,40.5,97.4
725,88152,38.1,89.9
727,57036,38.3,88
728,42333,35.9,96.5
729,54198,35.9,92.1
730,36201,38.7,89.4
731,14320,41.3,97.7
735,13203,39.3,89.1
736,51116,38.6,94.2
738,33835,38.7,89.9
739,38424,37.2,94.6
740,1704,29.8,70.2
741,5365,40.5,84
745,54253,38.1,95.6
751,23020,36.7,94.1
754,40022,38.1,96.5
757,23114,35,93.8
765,9139,42,104.9
766,25549,35.1,96.1
767,36962,38.6,95
769,39871,36.6,94.8
771,38435,36.5,94.3
772,21682,36,91.2
773,19731,39.3,89.6
775,1585,37,136.9
777,40863,35.4,91.3
778,46569,36.2,91.1
780,13678,37.8,97.5
782,18595,36.3,100.8
783,35856,35.8,96
784,43251,35.9,97.8
786,327,57.2,101.9
791,51757,39.2,91.1
794,30462,33.7,96.9
795,47106,36.4,91.1
901,6428,41.5,120.1
906,43,27.7,258.3
907,17910,47.5,86.2
909,6071,38.2,88.9
911,7425,48.1,90.9
912,6414,38.2,92.7
913,8179,28.2,75
915,30642,38,88.8
917,19723,43.9,82
918,16553,39.9,75.8
920,18729,44,82.8
921,38499,36.6,81.4
923,27853,37,84.7
924,56236,35.8,82.4
925,7120,32.8,106.7
926,105093,40.6,86.1
927,14764,46.8,79.4
934,188,38.6,164.8
936,877,57.5,111.8
949,80406,37,89.6
950,0,-,-
951,15,-,114.3
952,9338,40.8,97.4
953,73537,35.4,93.3
956,75830,38.4,92.8
957,44639,38,86.9
959,48699,39.5,81.6
960,2037,33.3,3974
961,31774,41.5,95.9
962,21204,34.8,86.9
965,8978,36.5,91.7
966,15785,41.9,85.2
968,3594,57.5,67.3
969,42316,40.2,88.6
971,30349,40.9,96.8
976,61862,37.2,90
979,16157,46.9,86.1
982,15132,42.2,84
983,40273,38.3,82.1
985,35236,40.4,88
987,60544,36.3,88
1001,17141,44.3,85.7
1002,29844,23,95.8
1003,11062,20,95.3
1005,5113,42.7,115.3
1007,14774,41.8,98.3
1008,1212,47.8,105.8
1009,546,46.4,92.3
1010,3667,46,95.2
1011,1478,41.8,104.1
1012,499,51.2,103.7
1013,22299,35.8,95.1
1020,30593,43,100.1
1022,2711,41.2,71.3
1026,1009,49.2,89
1027,17652,45.1,93.8
1028,15917,45.6,87
1029,701,48.4,106.2
1030,11485,44.2,99.7
1031,1389,37.9,114
1032,585,47.9,76.2
1033,6214,44.1,85.1
1034,2061,47.1,115.6
1035,5285,45.6,82.3
1036,5141,48.9,99.7
1037,721,53.2,166.1
1038,2837,49,87.4
1039,1354,51.5,79.1
1040,40079,35.6,92
1050,2512,42.5,94.7
1053,1847,49.9,108
1054,1836,50.8,101.3
1056,21288,44.8,92.8
1057,8645,46.8,94.6
1060,15348,34.4,67.2
1062,10830,44.6,98.9
1063,612,20.5,3.2
1066,10,-,-
1068,1791,44.4,101
1069,8982,41.9,98.5
1070,580,50.9,107.1
1071,1361,46.9,95.8
1072,1482,44.9,92
1073,5958,44.3,98.4
1074,301,33.8,133.3
1075,17832,41,64.4
1077,9599,43.9,97.4
1079,542,43.5,106.1
1080,2176,39.5,91
1081,1807,44.7,108.9
1082,10394,43,101.2
1083,3108,37.9,94.3
1084,211,59.1,95.4
1085,41121,38.4,95.6
1086,1038,19.2,93.3
1088,446,59.9,114.4
1089,28554,39.6,94.7
1092,1078,30.9,121.8
1093,282,53.3,95.8
1094,310,54,112.3
1095,14436,48.1,94.5
1096,2522,44.3,97.6
1097,36,43.5,157.1
1098,1095,53.4,91.8
